no_story,T1,no_span,no_bay,DI_cladire
7,0.6631,3,3,0.32192
12,1.0681,3,3,0.18261
12,1.0581,5,5,1.0092
13,1.4469,5,4,0.45559
11,1.2008,2,2,0.13817
11,1.2661,3,3,1.3914
7,0.83328,2,3,0.039557
4,0.62625,2,2,0.36534
11,1.7311,2,5,0.86813
12,1.5539,5,2,0.6644
13,1.3909,3,4,0.56367
6,0.55812,4,5,0.094782
7,0.71411,2,5,0.72456
6,0.66562,5,2,0.57037
9,0.87844,2,4,0.10453
12,1.4042,3,2,0.82802
13,1.0493,5,5,0.41052
10,0.86622,4,3,0.36443
10,0.97116,4,2,1.0599
10,0.93343,2,2,0.58075
10,1.0261,3,2,0.48992
12,1.2696,2,4,1.0719
13,1.1157,4,5,0.86322
7,0.56143,4,5,0.88478
5,0.66485,5,3,0.047728
10,1.2326,4,4,0.23674
6,0.51017,2,5,0.1221
5,0.57334,5,3,0.19071
13,1.2459,5,3,0.44751
6,0.61563,5,3,0.28873
8,0.76893,4,4,0.76175
10,0.85704,4,5,0.64441
8,0.97216,4,2,0.46873
13,1.6105,5,5,0.7173
11,1.2302,2,3,0.91377
7,0.7032,5,5,0.6712
4,0.70077,2,2,0.015983
5,0.58901,3,3,0.36732
